dataset,case,side,variant
healthy,VSD_001,right,rotm5_noflip_noise0_bc0
healthy,VSD_001,right,rotm5_noflip_noise0_brighten
healthy,VSD_001,right,rotm5_noflip_noise_bc0
healthy,VSD_001,right,rotm5_noflip_noise_brighten
healthy,VSD_001,right,rotm5_flip_noise0_bc0
healthy,VSD_001,right,rotm5_flip_noise0_brighten
healthy,VSD_001,right,rotm5_flip_noise_bc0
healthy,VSD_001,right,rotm5_flip_noise_brighten
healthy,VSD_001,right,rotp5_noflip_noise0_bc0
healthy,VSD_001,right,rotp5_noflip_noise0_brighten
healthy,VSD_001,right,rotp5_noflip_noise_bc0
healthy,VSD_001,right,rotp5_noflip_noise_brighten
healthy,VSD_001,right,rotp5_flip_noise0_bc0
healthy,VSD_001,right,rotp5_flip_noise0_brighten
healthy,VSD_001,right,rotp5_flip_noise_bc0
healthy,VSD_001,right,rotp5_flip_noise_brighten
healthy,VSD_002,left,rot0_noflip_noise0_brighten
healthy,VSD_002,left,rot0_noflip_noise_bc0
healthy,VSD_002,left,rot0_noflip_noise_brighten
healthy,VSD_002,left,rot0_flip_noise0_bc0
healthy,VSD_002,left,rot0_flip_noise0_brighten
healthy,VSD_002,left,rot0_flip_noise_bc0
healthy,VSD_002,left,rot0_flip_noise_brighten
healthy,VSD_002,left,rotm5_noflip_noise0_bc0
healthy,VSD_002,left,rotm5_noflip_noise0_brighten
healthy,VSD_002,left,rotm5_noflip_noise_bc0
healthy,VSD_002,left,rotm5_noflip_noise_brighten
healthy,VSD_002,left,rotm5_flip_noise0_bc0
healthy,VSD_002,left,rotm5_flip_noise0_brighten
healthy,VSD_002,left,rotm5_flip_noise_bc0
healthy,VSD_002,left,rotm5_flip_noise_brighten
healthy,VSD_002,left,rotp5_noflip_noise0_bc0
healthy,VSD_002,left,rotp5_noflip_noise0_brighten
healthy,VSD_002,left,rotp5_noflip_noise_bc0
healthy,VSD_002,left,rotp5_noflip_noise_brighten
healthy,VSD_002,left,rotp5_flip_noise0_bc0
healthy,VSD_002,left,rotp5_flip_noise0_brighten
healthy,VSD_002,left,rotp5_flip_noise_bc0
healthy,VSD_002,left,rotp5_flip_noise_brighten
healthy,VSD_002,right,rot0_noflip_noise0_brighten
healthy,VSD_002,right,rot0_noflip_noise_bc0
healthy,VSD_002,right,rot0_noflip_noise_brighten
healthy,VSD_002,right,rot0_flip_noise0_bc0
healthy,VSD_002,right,rot0_flip_noise0_brighten
healthy,VSD_002,right,rot0_flip_noise_bc0
healthy,VSD_002,right,rot0_flip_noise_brighten
healthy,VSD_002,right,rotm5_noflip_noise0_bc0
healthy,VSD_002,right,rotm5_noflip_noise0_brighten
healthy,VSD_002,right,rotm5_noflip_noise_bc0
healthy,VSD_002,right,rotm5_noflip_noise_brighten
healthy,VSD_002,right,rotm5_flip_noise0_bc0
healthy,VSD_002,right,rotm5_flip_noise0_brighten
healthy,VSD_002,right,rotm5_flip_noise_bc0
healthy,VSD_002,right,rotm5_flip_noise_brighten
healthy,VSD_002,right,rotp5_noflip_noise0_bc0
healthy,VSD_002,right,rotp5_noflip_noise0_brighten
healthy,VSD_002,right,rotp5_noflip_noise_bc0
healthy,VSD_002,right,rotp5_noflip_noise_brighten
healthy,VSD_002,right,rotp5_flip_noise0_bc0
healthy,VSD_002,right,rotp5_flip_noise0_brighten
healthy,VSD_002,right,rotp5_flip_noise_bc0
healthy,VSD_002,right,rotp5_flip_noise_brighten
healthy,VSD_005,left,rot0_noflip_noise0_brighten
healthy,VSD_005,left,rot0_noflip_noise_bc0
healthy,VSD_005,left,rot0_noflip_noise_brighten
healthy,VSD_005,left,rot0_flip_noise0_bc0
healthy,VSD_005,left,rot0_flip_noise0_brighten
healthy,VSD_005,left,rot0_flip_noise_bc0
healthy,VSD_005,left,rot0_flip_noise_brighten
healthy,VSD_005,left,rotm5_noflip_noise0_bc0
healthy,VSD_005,left,rotm5_noflip_noise0_brighten
healthy,VSD_005,left,rotm5_noflip_noise_bc0
healthy,VSD_005,left,rotm5_noflip_noise_brighten
healthy,VSD_005,left,rotm5_flip_noise0_bc0
healthy,VSD_005,left,rotm5_flip_noise0_brighten
healthy,VSD_005,left,rotm5_flip_noise_bc0
healthy,VSD_005,left,rotm5_flip_noise_brighten
healthy,VSD_005,left,rotp5_noflip_noise0_bc0
healthy,VSD_005,left,rotp5_noflip_noise0_brighten
healthy,VSD_005,left,rotp5_noflip_noise_bc0
healthy,VSD_005,left,rotp5_noflip_noise_brighten
healthy,VSD_005,left,rotp5_flip_noise0_bc0
healthy,VSD_005,left,rotp5_flip_noise0_brighten
healthy,VSD_005,left,rotp5_flip_noise_bc0
healthy,VSD_005,left,rotp5_flip_noise_brighten
healthy,VSD_005,right,rot0_noflip_noise0_brighten
healthy,VSD_005,right,rot0_noflip_noise_bc0
healthy,VSD_005,right,rot0_noflip_noise_brighten
healthy,VSD_005,right,rot0_flip_noise0_bc0
healthy,VSD_005,right,rot0_flip_noise0_brighten
healthy,VSD_005,right,rot0_flip_noise_bc0
healthy,VSD_005,right,rot0_flip_noise_brighten
healthy,VSD_005,right,rotm5_noflip_noise0_bc0
healthy,VSD_005,right,rotm5_noflip_noise0_brighten
healthy,VSD_005,right,rotm5_noflip_noise_bc0
healthy,VSD_005,right,rotm5_noflip_noise_brighten
healthy,VSD_005,right,rotm5_flip_noise0_bc0
healthy,VSD_005,right,rotm5_flip_noise0_brighten
healthy,VSD_005,right,rotm5_flip_noise_bc0
healthy,VSD_005,right,rotm5_flip_noise_brighten
healthy,VSD_005,right,rotp5_noflip_noise0_bc0
healthy,VSD_005,right,rotp5_noflip_noise0_brighten
healthy,VSD_005,right,rotp5_noflip_noise_bc0
healthy,VSD_005,right,rotp5_noflip_noise_brighten
healthy,VSD_005,right,rotp5_flip_noise0_bc0
healthy,VSD_005,right,rotp5_flip_noise0_brighten
healthy,VSD_005,right,rotp5_flip_noise_bc0
healthy,VSD_005,right,rotp5_flip_noise_brighten
healthy,VSD_006,left,rot0_noflip_noise0_brighten
healthy,VSD_006,left,rot0_noflip_noise_bc0
healthy,VSD_006,left,rot0_noflip_noise_brighten
healthy,VSD_006,left,rot0_flip_noise0_bc0
healthy,VSD_006,left,rot0_flip_noise0_brighten
healthy,VSD_006,left,rot0_flip_noise_bc0
healthy,VSD_006,left,rot0_flip_noise_brighten
healthy,VSD_006,left,rotm5_noflip_noise0_bc0
healthy,VSD_006,left,rotm5_noflip_noise0_brighten
healthy,VSD_006,left,rotm5_noflip_noise_bc0
healthy,VSD_006,left,rotm5_noflip_noise_brighten
healthy,VSD_006,left,rotm5_flip_noise0_bc0
healthy,VSD_006,left,rotm5_flip_noise0_brighten
healthy,VSD_006,left,rotm5_flip_noise_bc0
healthy,VSD_006,left,rotm5_flip_noise_brighten
healthy,VSD_006,left,rotp5_noflip_noise0_bc0
healthy,VSD_006,left,rotp5_noflip_noise0_brighten
healthy,VSD_006,left,rotp5_noflip_noise_bc0
healthy,VSD_006,left,rotp5_noflip_noise_brighten
healthy,VSD_006,left,rotp5_flip_noise0_bc0
healthy,VSD_006,left,rotp5_flip_noise0_brighten
healthy,VSD_006,left,rotp5_flip_noise_bc0
healthy,VSD_006,left,rotp5_flip_noise_brighten
healthy,VSD_006,right,rot0_noflip_noise0_brighten
healthy,VSD_006,right,rot0_noflip_noise_bc0
healthy,VSD_006,right,rot0_noflip_noise_brighten
healthy,VSD_006,right,rot0_flip_noise0_bc0
healthy,VSD_006,right,rot0_flip_noise0_brighten
healthy,VSD_006,right,rot0_flip_noise_bc0
healthy,VSD_006,right,rot0_flip_noise_brighten
healthy,VSD_006,right,rotm5_noflip_noise0_bc0
healthy,VSD_006,right,rotm5_noflip_noise0_brighten
healthy,VSD_006,right,rotm5_noflip_noise_bc0
healthy,VSD_006,right,rotm5_noflip_noise_brighten
healthy,VSD_006,right,rotm5_flip_noise0_bc0
healthy,VSD_006,right,rotm5_flip_noise0_brighten
healthy,VSD_006,right,rotm5_flip_noise_bc0
healthy,VSD_006,right,rotm5_flip_noise_brighten
healthy,VSD_006,right,rotp5_noflip_noise0_bc0
healthy,VSD_006,right,rotp5_noflip_noise0_brighten
healthy,VSD_006,right,rotp5_noflip_noise_bc0
healthy,VSD_006,right,rotp5_noflip_noise_brighten
healthy,VSD_006,right,rotp5_flip_noise0_bc0
healthy,VSD_006,right,rotp5_flip_noise0_brighten
healthy,VSD_006,right,rotp5_flip_noise_bc0
healthy,VSD_006,right,rotp5_flip_noise_brighten
healthy,VSD_010,left,rot0_noflip_noise0_brighten
healthy,VSD_010,left,rot0_noflip_noise_bc0
healthy,VSD_010,left,rot0_noflip_noise_brighten
healthy,VSD_010,left,rot0_flip_noise0_bc0
healthy,VSD_010,left,rot0_flip_noise0_brighten
healthy,VSD_010,left,rot0_flip_noise_bc0
healthy,VSD_010,left,rot0_flip_noise_brighten
healthy,VSD_010,left,rotm5_noflip_noise0_bc0
healthy,VSD_010,left,rotm5_noflip_noise0_brighten
healthy,VSD_010,left,rotm5_noflip_noise_bc0
healthy,VSD_010,left,rotm5_noflip_noise_brighten
healthy,VSD_010,left,rotm5_flip_noise0_bc0
healthy,VSD_010,left,rotm5_flip_noise0_brighten
healthy,VSD_010,left,rotm5_flip_noise_bc0
healthy,VSD_010,left,rotm5_flip_noise_brighten
healthy,VSD_010,left,rotp5_noflip_noise0_bc0
healthy,VSD_010,left,rotp5_noflip_noise0_brighten
healthy,VSD_010,left,rotp5_noflip_noise_bc0
healthy,VSD_010,left,rotp5_noflip_noise_brighten
healthy,VSD_010,left,rotp5_flip_noise0_bc0
healthy,VSD_010,left,rotp5_flip_noise0_brighten
healthy,VSD_010,left,rotp5_flip_noise_bc0
healthy,VSD_010,left,rotp5_flip_noise_brighten
healthy,VSD_010,right,rot0_noflip_noise0_brighten
healthy,VSD_010,right,rot0_noflip_noise_bc0
healthy,VSD_010,right,rot0_noflip_noise_brighten
healthy,VSD_010,right,rot0_flip_noise0_bc0
healthy,VSD_010,right,rot0_flip_noise0_brighten
healthy,VSD_010,right,rot0_flip_noise_bc0
healthy,VSD_010,right,rot0_flip_noise_brighten
healthy,VSD_010,right,rotm5_noflip_noise0_bc0
healthy,VSD_010,right,rotm5_noflip_noise0_brighten
healthy,VSD_010,right,rotm5_noflip_noise_bc0
healthy,VSD_010,right,rotm5_noflip_noise_brighten
healthy,VSD_010,right,rotm5_flip_noise0_bc0
healthy,VSD_010,right,rotm5_flip_noise0_brighten
healthy,VSD_010,right,rotm5_flip_noise_bc0
healthy,VSD_010,right,rotm5_flip_noise_brighten
healthy,VSD_010,right,rotp5_noflip_noise0_bc0
healthy,VSD_010,right,rotp5_noflip_noise0_brighten
healthy,VSD_010,right,rotp5_noflip_noise_bc0
healthy,VSD_010,right,rotp5_noflip_noise_brighten
healthy,VSD_010,right,rotp5_flip_noise0_bc0
healthy,VSD_010,right,rotp5_flip_noise0_brighten
healthy,VSD_010,right,rotp5_flip_noise_bc0
healthy,VSD_010,right,rotp5_flip_noise_brighten
healthy,VSD_014,left,rot0_noflip_noise0_brighten
healthy,VSD_014,left,rot0_noflip_noise_bc0
healthy,VSD_014,left,rot0_noflip_noise_brighten
healthy,VSD_014,left,rot0_flip_noise0_bc0
healthy,VSD_014,left,rot0_flip_noise0_brighten
healthy,VSD_014,left,rot0_flip_noise_bc0
healthy,VSD_014,left,rot0_flip_noise_brighten
healthy,VSD_014,left,rotm5_noflip_noise0_bc0
healthy,VSD_014,left,rotm5_noflip_noise0_brighten
healthy,VSD_014,left,rotm5_noflip_noise_bc0
healthy,VSD_014,left,rotm5_noflip_noise_brighten
healthy,VSD_014,left,rotm5_flip_noise0_bc0
healthy,VSD_014,left,rotm5_flip_noise0_brighten
healthy,VSD_014,left,rotm5_flip_noise_bc0
healthy,VSD_014,left,rotm5_flip_noise_brighten
healthy,VSD_014,left,rotp5_noflip_noise0_bc0
healthy,VSD_014,left,rotp5_noflip_noise0_brighten
healthy,VSD_014,left,rotp5_noflip_noise_bc0
healthy,VSD_014,left,rotp5_noflip_noise_brighten
healthy,VSD_014,left,rotp5_flip_noise0_bc0
healthy,VSD_014,left,rotp5_flip_noise0_brighten
healthy,VSD_014,left,rotp5_flip_noise_bc0
healthy,VSD_014,left,rotp5_flip_noise_brighten
healthy,VSD_014,right,rot0_noflip_noise0_brighten
healthy,VSD_014,right,rot0_noflip_noise_bc0
healthy,VSD_014,right,rot0_noflip_noise_brighten
healthy,VSD_014,right,rot0_flip_noise0_bc0
healthy,VSD_014,right,rot0_flip_noise0_brighten
healthy,VSD_014,right,rot0_flip_noise_bc0
healthy,VSD_014,right,rot0_flip_noise_brighten
healthy,VSD_014,right,rotm5_noflip_noise0_bc0
healthy,VSD_014,right,rotm5_noflip_noise0_brighten
healthy,VSD_014,right,rotm5_noflip_noise_bc0
healthy,VSD_014,right,rotm5_noflip_noise_brighten
healthy,VSD_014,right,rotm5_flip_noise0_bc0
healthy,VSD_014,right,rotm5_flip_noise0_brighten
healthy,VSD_014,right,rotm5_flip_noise_bc0
healthy,VSD_014,right,rotm5_flip_noise_brighten
healthy,VSD_014,right,rotp5_noflip_noise0_bc0
healthy,VSD_014,right,rotp5_noflip_noise0_brighten
healthy,VSD_014,right,rotp5_noflip_noise_bc0
healthy,VSD_014,right,rotp5_noflip_noise_brighten
healthy,VSD_014,right,rotp5_flip_noise0_bc0
healthy,VSD_014,right,rotp5_flip_noise0_brighten
healthy,VSD_014,right,rotp5_flip_noise_bc0
healthy,VSD_014,right,rotp5_flip_noise_brighten
healthy,VSD_015,left,rot0_noflip_noise0_brighten
healthy,VSD_015,left,rot0_noflip_noise_bc0
healthy,VSD_015,left,rot0_noflip_noise_brighten
healthy,VSD_015,left,rot0_flip_noise0_bc0
healthy,VSD_015,left,rot0_flip_noise0_brighten
healthy,VSD_015,left,rot0_flip_noise_bc0
healthy,VSD_015,left,rot0_flip_noise_brighten
healthy,VSD_015,left,rotm5_noflip_noise0_bc0
healthy,VSD_015,left,rotm5_noflip_noise0_brighten
healthy,VSD_015,left,rotm5_noflip_noise_bc0
healthy,VSD_015,left,rotm5_noflip_noise_brighten
healthy,VSD_015,left,rotm5_flip_noise0_bc0
healthy,VSD_015,left,rotm5_flip_noise0_brighten
healthy,VSD_015,left,rotm5_flip_noise_bc0
healthy,VSD_015,left,rotm5_flip_noise_brighten
healthy,VSD_015,left,rotp5_noflip_noise0_bc0
healthy,VSD_015,left,rotp5_noflip_noise0_brighten
healthy,VSD_015,left,rotp5_noflip_noise_bc0
healthy,VSD_015,left,rotp5_noflip_noise_brighten
healthy,VSD_015,left,rotp5_flip_noise0_bc0
healthy,VSD_015,left,rotp5_flip_noise0_brighten
healthy,VSD_015,left,rotp5_flip_noise_bc0
healthy,VSD_015,left,rotp5_flip_noise_brighten
healthy,VSD_015,right,rot0_noflip_noise0_brighten
healthy,VSD_015,right,rot0_noflip_noise_bc0
healthy,VSD_015,right,rot0_noflip_noise_brighten
healthy,VSD_015,right,rot0_flip_noise0_bc0
healthy,VSD_015,right,rot0_flip_noise0_brighten
healthy,VSD_015,right,rot0_flip_noise_bc0
healthy,VSD_015,right,rot0_flip_noise_brighten
healthy,VSD_015,right,rotm5_noflip_noise0_bc0
healthy,VSD_015,right,rotm5_noflip_noise0_brighten
healthy,VSD_015,right,rotm5_noflip_noise_bc0
healthy,VSD_015,right,rotm5_noflip_noise_brighten
healthy,VSD_015,right,rotm5_flip_noise0_bc0
healthy,VSD_015,right,rotm5_flip_noise0_brighten
healthy,VSD_015,right,rotm5_flip_noise_bc0
healthy,VSD_015,right,rotm5_flip_noise_brighten
healthy,VSD_015,right,rotp5_noflip_noise0_bc0
healthy,VSD_015,right,rotp5_noflip_noise0_brighten
healthy,VSD_015,right,rotp5_noflip_noise_bc0
healthy,VSD_015,right,rotp5_noflip_noise_brighten
healthy,VSD_015,right,rotp5_flip_noise0_bc0
healthy,VSD_015,right,rotp5_flip_noise0_brighten
healthy,VSD_015,right,rotp5_flip_noise_bc0
healthy,VSD_015,right,rotp5_flip_noise_brighten
healthy,VSD_016,left,rot0_noflip_noise0_brighten
healthy,VSD_016,left,rot0_noflip_noise_bc0
healthy,VSD_016,left,rot0_noflip_noise_brighten
healthy,VSD_016,left,rot0_flip_noise0_bc0
healthy,VSD_016,left,rot0_flip_noise0_brighten
healthy,VSD_016,left,rot0_flip_noise_bc0
healthy,VSD_016,left,rot0_flip_noise_brighten
healthy,VSD_016,left,rotm5_noflip_noise0_bc0
healthy,VSD_016,left,rotm5_noflip_noise0_brighten
healthy,VSD_016,left,rotm5_noflip_noise_bc0
healthy,VSD_016,left,rotm5_noflip_noise_brighten
healthy,VSD_016,left,rotm5_flip_noise0_bc0
healthy,VSD_016,left,rotm5_flip_noise0_brighten
healthy,VSD_016,left,rotm5_flip_noise_bc0
healthy,VSD_016,left,rotm5_flip_noise_brighten
healthy,VSD_016,left,rotp5_noflip_noise0_bc0
healthy,VSD_016,left,rotp5_noflip_noise0_brighten
healthy,VSD_016,left,rotp5_noflip_noise_bc0
healthy,VSD_016,left,rotp5_noflip_noise_brighten
healthy,VSD_016,left,rotp5_flip_noise0_bc0
healthy,VSD_016,left,rotp5_flip_noise0_brighten
healthy,VSD_016,left,rotp5_flip_noise_bc0
healthy,VSD_016,left,rotp5_flip_noise_brighten
healthy,VSD_016,right,rot0_noflip_noise0_brighten
healthy,VSD_016,right,rot0_noflip_noise_bc0
healthy,VSD_016,right,rot0_noflip_noise_brighten
healthy,VSD_016,right,rot0_flip_noise0_bc0
healthy,VSD_016,right,rot0_flip_noise0_brighten
healthy,VSD_016,right,rot0_flip_noise_bc0
healthy,VSD_016,right,rot0_flip_noise_brighten
healthy,VSD_016,right,rotm5_noflip_noise0_bc0
healthy,VSD_016,right,rotm5_noflip_noise0_brighten
healthy,VSD_016,right,rotm5_noflip_noise_bc0
healthy,VSD_016,right,rotm5_noflip_noise_brighten
healthy,VSD_016,right,rotm5_flip_noise0_bc0
healthy,VSD_016,right,rotm5_flip_noise0_brighten
healthy,VSD_016,right,rotm5_flip_noise_bc0
healthy,VSD_016,right,rotm5_flip_noise_brighten
healthy,VSD_016,right,rotp5_noflip_noise0_bc0
healthy,VSD_016,right,rotp5_noflip_noise0_brighten
healthy,VSD_016,right,rotp5_noflip_noise_bc0
healthy,VSD_016,right,rotp5_noflip_noise_brighten
healthy,VSD_016,right,rotp5_flip_noise0_bc0
healthy,VSD_016,right,rotp5_flip_noise0_brighten
healthy,VSD_016,right,rotp5_flip_noise_bc0
healthy,VSD_016,right,rotp5_flip_noise_brighten
healthy,VSD_017,left,rot0_noflip_noise0_brighten
healthy,VSD_017,left,rot0_noflip_noise_bc0
healthy,VSD_017,left,rot0_noflip_noise_brighten
healthy,VSD_017,left,rot0_flip_noise0_bc0
healthy,VSD_017,left,rot0_flip_noise0_brighten
healthy,VSD_017,left,rot0_flip_noise_bc0
healthy,VSD_017,left,rot0_flip_noise_brighten
healthy,VSD_017,left,rotm5_noflip_noise0_bc0
healthy,VSD_017,left,rotm5_noflip_noise0_brighten
healthy,VSD_017,left,rotm5_noflip_noise_bc0
healthy,VSD_017,left,rotm5_noflip_noise_brighten
healthy,VSD_017,left,rotm5_flip_noise0_bc0
healthy,VSD_017,left,rotm5_flip_noise0_brighten
healthy,VSD_017,left,rotm5_flip_noise_bc0
healthy,VSD_017,left,rotm5_flip_noise_brighten
healthy,VSD_017,left,rotp5_noflip_noise0_bc0
healthy,VSD_017,left,rotp5_noflip_noise0_brighten
healthy,VSD_017,left,rotp5_noflip_noise_bc0
healthy,VSD_017,left,rotp5_noflip_noise_brighten
healthy,VSD_017,left,rotp5_flip_noise0_bc0
healthy,VSD_017,left,rotp5_flip_noise0_brighten
healthy,VSD_017,left,rotp5_flip_noise_bc0
healthy,VSD_017,left,rotp5_flip_noise_brighten
healthy,VSD_017,right,rot0_noflip_noise0_brighten
healthy,VSD_017,right,rot0_noflip_noise_bc0
healthy,VSD_017,right,rot0_noflip_noise_brighten
healthy,VSD_017,right,rot0_flip_noise0_bc0
healthy,VSD_017,right,rot0_flip_noise0_brighten
healthy,VSD_017,right,rot0_flip_noise_bc0
healthy,VSD_017,right,rot0_flip_noise_brighten
healthy,VSD_017,right,rotm5_noflip_noise0_bc0
healthy,VSD_017,right,rotm5_noflip_noise0_brighten
healthy,VSD_017,right,rotm5_noflip_noise_bc0
healthy,VSD_017,right,rotm5_noflip_noise_brighten
healthy,VSD_017,right,rotm5_flip_noise0_bc0
healthy,VSD_017,right,rotm5_flip_noise0_brighten
healthy,VSD_017,right,rotm5_flip_noise_bc0
healthy,VSD_017,right,rotm5_flip_noise_brighten
healthy,VSD_017,right,rotp5_noflip_noise0_bc0
healthy,VSD_017,right,rotp5_noflip_noise0_brighten
healthy,VSD_017,right,rotp5_noflip_noise_bc0
healthy,VSD_017,right,rotp5_noflip_noise_brighten
healthy,VSD_017,right,rotp5_flip_noise0_bc0
healthy,VSD_017,right,rotp5_flip_noise0_brighten
healthy,VSD_017,right,rotp5_flip_noise_bc0
healthy,VSD_017,right,rotp5_flip_noise_brighten
healthy,VSD_019,left,rot0_noflip_noise0_brighten
healthy,VSD_019,left,rot0_noflip_noise_bc0
healthy,VSD_019,left,rot0_noflip_noise_brighten
healthy,VSD_019,left,rot0_flip_noise0_bc0
healthy,VSD_019,left,rot0_flip_noise0_brighten
healthy,VSD_019,left,rot0_flip_noise_bc0
healthy,VSD_019,left,rot0_flip_noise_brighten
healthy,VSD_019,left,rotm5_noflip_noise0_bc0
healthy,VSD_019,left,rotm5_noflip_noise0_brighten
healthy,VSD_019,left,rotm5_noflip_noise_bc0
healthy,VSD_019,left,rotm5_noflip_noise_brighten
healthy,VSD_019,left,rotm5_flip_noise0_bc0
healthy,VSD_019,left,rotm5_flip_noise0_brighten
healthy,VSD_019,left,rotm5_flip_noise_bc0
healthy,VSD_019,left,rotm5_flip_noise_brighten
healthy,VSD_019,left,rotp5_noflip_noise0_bc0
healthy,VSD_019,left,rotp5_noflip_noise0_brighten
healthy,VSD_019,left,rotp5_noflip_noise_bc0
healthy,VSD_019,left,rotp5_noflip_noise_brighten
healthy,VSD_019,left,rotp5_flip_noise0_bc0
healthy,VSD_019,left,rotp5_flip_noise0_brighten
healthy,VSD_019,left,rotp5_flip_noise_bc0
healthy,VSD_019,left,rotp5_flip_noise_brighten
healthy,VSD_019,right,rot0_noflip_noise0_brighten
healthy,VSD_019,right,rot0_noflip_noise_bc0
healthy,VSD_019,right,rot0_noflip_noise_brighten
healthy,VSD_019,right,rot0_flip_noise0_bc0
healthy,VSD_019,right,rot0_flip_noise0_brighten
healthy,VSD_019,right,rot0_flip_noise_bc0
healthy,VSD_019,right,rot0_flip_noise_brighten
healthy,VSD_019,right,rotm5_noflip_noise0_bc0
healthy,VSD_019,right,rotm5_noflip_noise0_brighten
healthy,VSD_019,right,rotm5_noflip_noise_bc0
healthy,VSD_019,right,rotm5_noflip_noise_brighten
healthy,VSD_019,right,rotm5_flip_noise0_bc0
healthy,VSD_019,right,rotm5_flip_noise0_brighten
healthy,VSD_019,right,rotm5_flip_noise_bc0
healthy,VSD_019,right,rotm5_flip_noise_brighten
healthy,VSD_019,right,rotp5_noflip_noise0_bc0
healthy,VSD_019,right,rotp5_noflip_noise0_brighten
healthy,VSD_019,right,rotp5_noflip_noise_bc0
healthy,VSD_019,right,rotp5_noflip_noise_brighten
healthy,VSD_019,right,rotp5_flip_noise0_bc0
healthy,VSD_019,right,rotp5_flip_noise0_brighten
healthy,VSD_019,right,rotp5_flip_noise_bc0
healthy,VSD_019,right,rotp5_flip_noise_brighten
healthy,VSD_023,left,rot0_noflip_noise0_brighten
healthy,VSD_023,left,rot0_noflip_noise_bc0
healthy,VSD_023,left,rot0_noflip_noise_brighten
healthy,VSD_023,left,rot0_flip_noise0_bc0
healthy,VSD_023,left,rot0_flip_noise0_brighten
healthy,VSD_023,left,rot0_flip_noise_bc0
healthy,VSD_023,left,rot0_flip_noise_brighten
